"functional_group","fuel","end_use","timeseries_field_name"
"cooling","electricity","ceiling_fan","out.electricity.ceiling_fan.energy_consumption"
"appliance","electricity","clothes_dryer","out.electricity.clothes_dryer.energy_consumption"
"appliance","electricity","clothes_washer","out.electricity.clothes_washer.energy_consumption"
"cooling","electricity","cooling","out.electricity.cooling.energy_consumption"
"cooling","electricity","cooling_fans_pumps","out.electricity.cooling_fans_pumps.energy_consumption"
"appliance","electricity","dishwasher","out.electricity.dishwasher.energy_consumption"
"appliance","electricity","freezer","out.electricity.freezer.energy_consumption"
"heating","electricity","heating","out.electricity.heating.energy_consumption"
"heating","electricity","heating_fans_pumps","out.electricity.heating_fans_pumps.energy_consumption"
"heating","electricity","heating_hp_bkup","out.electricity.heating_hp_bkup.energy_consumption"
"heating","electricity","heating_hp_bkup_fa","out.electricity.heating_hp_bkup_fa.energy_consumption"
"hot_water","electricity","hot_water","out.electricity.hot_water.energy_consumption"
"appliance","electricity","lighting_exterior","out.electricity.lighting_exterior.energy_consumption"
"appliance","electricity","lighting_garage","out.electricity.lighting_garage.energy_consumption"
"appliance","electricity","lighting_interior","out.electricity.lighting_interior.energy_consumption"
"cooling","electricity","mech_vent","out.electricity.mech_vent.energy_consumption"
"appliance","electricity","permanent_spa_heat","out.electricity.permanent_spa_heat.energy_consumption"
"appliance","electricity","permanent_spa_pump","out.electricity.permanent_spa_pump.energy_consumption"
"appliance","electricity","plug_loads","out.electricity.plug_loads.energy_consumption"
"appliance","electricity","pool_heater","out.electricity.pool_heater.energy_consumption"
"appliance","electricity","pool_pump","out.electricity.pool_pump.energy_consumption"
"appliance","electricity","range_oven","out.electricity.range_oven.energy_consumption"
"appliance","electricity","refrigerator","out.electricity.refrigerator.energy_consumption"
"total","electricity","total","out.electricity.total.energy_consumption"
"appliance","electricity","well_pump","out.electricity.well_pump.energy_consumption"
"heating","fuel_oil","heating","out.fuel_oil.heating.energy_consumption"
"heating","fuel_oil","heating_hp_bkup","out.fuel_oil.heating_hp_bkup.energy_consumption"
"hot_water","fuel_oil","hot_water","out.fuel_oil.hot_water.energy_consumption"
"total","fuel_oil","total","out.fuel_oil.total.energy_consumption"
"appliance","natural_gas","clothes_dryer","out.natural_gas.clothes_dryer.energy_consumption"
"heating","natural_gas","fireplace","out.natural_gas.fireplace.energy_consumption"
"appliance","natural_gas","grill","out.natural_gas.grill.energy_consumption"
"heating","natural_gas","heating","out.natural_gas.heating.energy_consumption"
"heating","natural_gas","heating_hp_bkup","out.natural_gas.heating_hp_bkup.energy_consumption"
"hot_water","natural_gas","hot_water","out.natural_gas.hot_water.energy_consumption"
"appliance","natural_gas","lighting","out.natural_gas.lighting.energy_consumption"
"appliance","natural_gas","permanent_spa_heat","out.natural_gas.permanent_spa_heat.energy_consumption"
"appliance","natural_gas","pool_heater","out.natural_gas.pool_heater.energy_consumption"
"appliance","natural_gas","range_oven","out.natural_gas.range_oven.energy_consumption"
"total","natural_gas","total","out.natural_gas.total.energy_consumption"
"appliance","propane","clothes_dryer","out.propane.clothes_dryer.energy_consumption"
"heating","propane","heating","out.propane.heating.energy_consumption"
"heating","propane","heating_hp_bkup","out.propane.heating_hp_bkup.energy_consumption"
"hot_water","propane","hot_water","out.propane.hot_water.energy_consumption"
"appliance","propane","range_oven","out.propane.range_oven.energy_consumption"
"total","propane","total","out.propane.total.energy_consumption"
