# git commit: fa82d50 (2026-02-15)
Metric,NatGas Z4,NatGas Z5,NatGas Z6,Propane Z4,Propane Z5,Propane Z6
Furnace equipment cost,1713.714286,1713.714286,1713.714286,1713.714286,1713.714286,1713.714286
Gas tank cost,0.0,0.0,0.0,1400.0,1400.0,1400.0
Furnace installed cost,1713.714286,1713.714286,1713.714286,3113.714286,3113.714286,3113.714286
Furnace yearly operating,1101.0356639604615,1470.872504889682,1790.853903660974,2198.4348152317625,3045.171335612538,3777.7644853415813
AC equipment cost,2309.885,2309.885,2309.885,2309.885,2309.885,2309.885
AC yearly operating,229.0,229.0,229.0,229.0,229.0,229.0
Gas water heater equipment,822.1,822.1,822.1,822.1,822.1,822.1
GWH yearly operating,452.26593749999995,452.26593749999995,452.26593749999995,1598.647678787879,1598.647678787879,1598.647678787879
Service line cost,11883.335974181087,4261.779563510775,6401.664100117135,0.0,0.0,0.0
Baseline equipment total,4845.699286,4845.699286,4845.699286,6245.699286000001,6245.699286000001,6245.699286000001
Baseline equip + service line,16729.03526018109,9107.478849510775,11247.363386117135,6245.699286000001,6245.699286000001,6245.699286000001
Baseline yearly operating,1782.3016014604614,2152.138442389682,2472.119841160974,4026.0824940196417,4872.819014400417,5605.4121641294605
ccASHP equipment cost,2749.666667,4004.333333,4004.333333,2749.666667,4004.333333,4004.333333
ccASHP net cost,2749.666667,4004.333333,4004.333333,2749.666667,4004.333333,4004.333333
ccASHP yearly operating,1324.6321811941948,1800.7639837411648,2212.711370582579,1324.6321811941948,1800.7639837411648,2212.711370582579
HPWH device cost,1733.398,1733.398,1733.398,1733.398,1733.398,1733.398
HPWH rebate,1132.0596458520931,959.1666666665839,958.6253369274797,1132.0596458520931,959.1666666665839,958.6253369274797
HPWH net cost,601.3383541479068,774.231333333416,774.7726630725202,601.3383541479068,774.231333333416,774.7726630725202
HPWH yearly operating,545.1917575757575,545.1917575757575,545.1917575757575,545.1917575757575,545.1917575757575,545.1917575757575
HP equipment total,3351.0050211479065,4778.564666333416,4779.105996072521,3351.0050211479065,4778.564666333416,4779.105996072521
HP yearly operating total,1869.8239387699523,2345.9557413169223,2757.9031281583366,1869.8239387699523,2345.9557413169223,2757.9031281583366
Construction savings (w/ svc line),13378.030239033182,4328.914183177359,6468.257390044614,2894.6942648520944,1467.1346196665845,1466.5932899274803
Mortgage savings (w/ svc line),1011.7414574493857,327.383169764587,489.1754647008812,218.91729515207686,110.95511759608593,110.91417840478374
Operating savings,-87.52233730949092,-193.81729892724024,-285.78328699736267,2156.2585552496894,2526.8632730834943,2847.509035971124
Total yearly savings (w/ svc line),924.2191201398948,133.56587083734678,203.39217770351854,2375.175850401766,2637.8183906795803,2958.4232143759077
15-yr present value,10275.82624993289,1485.037099684548,2261.393032380107,26408.12532429624,29328.2868432738,32892.89548575153
--- Weighted Averages ---,,,,,,
Wtd statewide savings (NatGas),330.3545695299215,,,,,
Wtd statewide savings (Propane),,,,2653.759258306428,,
Wtd zonewide savings (Z4),1031.6973964555891,,,,,
Wtd zonewide savings (Z5),,678.2975367849021,,,,
Wtd zonewide savings (Z6),,,2051.2788486423165,,,
Wtd statewide yearly savings,1083.5942323893796,,,,,
Wtd statewide 15-yr PV,12047.820494967948,,,,,
