# git commit: 2d54024 (2026-02-16)
baseline_tech,hp_tech,geography,delta-yearly_total_savings-dollars_per_year,delta-present_value_15yr-dollars_pv,delta-construction_savings-dollars,delta-yearly_mortgage_savings-dollars_per_year,delta-yearly_operating_savings-dollars_per_year,baseline-equipment_cost-dollars,hp-equipment_cost-dollars,delta-equipment_cost-dollars,baseline-equipment_cost_incl_service_line-dollars,hp-equipment_cost_incl_service_line-dollars,delta-equipment_cost_incl_service_line-dollars,baseline-yearly_operating-dollars_per_year,hp-yearly_operating-dollars_per_year,delta-yearly_operating-dollars_per_year,baseline-yearly_mortgage-dollars_per_year,hp-yearly_mortgage-dollars_per_year,delta-yearly_mortgage-dollars_per_year,baseline-yearly_mortgage_incl_service_line-dollars_per_year,hp-yearly_mortgage_incl_service_line-dollars_per_year,delta-yearly_mortgage_incl_service_line-dollars_per_year
natural_gas_furnace,ccASHP,Zone 4,924.22,10275.83,13378.03,1011.74,-87.52,4845.7,3351.01,1494.69,16729.04,3351.01,13378.03,1782.3,1869.82,-87.52,366.47,253.43,113.04,1265.17,253.43,1011.74
propane_furnace,ccASHP,Zone 4,2375.18,26408.13,2894.69,218.92,2156.26,6245.7,3351.01,2894.69,6245.7,3351.01,2894.69,4026.08,1869.82,2156.26,472.34,253.43,218.92,472.34,253.43,218.92
natural_gas_furnace,ccASHP,Zone 5,133.57,1485.04,4328.91,327.38,-193.82,4845.7,4778.56,67.13,9107.48,4778.56,4328.91,2152.14,2345.96,-193.82,366.47,361.39,5.08,688.77,361.39,327.38
propane_furnace,ccASHP,Zone 5,2637.82,29328.29,1467.13,110.96,2526.86,6245.7,4778.56,1467.13,6245.7,4778.56,1467.13,4872.82,2345.96,2526.86,472.34,361.39,110.96,472.34,361.39,110.96
natural_gas_furnace,ccASHP,Zone 6,203.39,2261.39,6468.26,489.18,-285.78,4845.7,4779.11,66.59,11247.36,4779.11,6468.26,2472.12,2757.9,-285.78,366.47,361.43,5.04,850.61,361.43,489.18
propane_furnace,ccASHP,Zone 6,2958.42,32892.9,1466.59,110.91,2847.51,6245.7,4779.11,1466.59,6245.7,4779.11,1466.59,5605.41,2757.9,2847.51,472.34,361.43,110.91,472.34,361.43,110.91
natural_gas_furnace,ccASHP,Statewide,330.35,3673.01,6898.14,521.69,-191.33,4845.7,4453.2,392.5,11351.34,4453.2,6898.14,2143.49,2334.82,-191.33,366.47,336.78,29.68,858.47,336.78,521.69
propane_furnace,ccASHP,Statewide,2653.76,29505.52,1792.5,135.56,2518.2,6245.7,4453.2,1792.5,6245.7,4453.2,1792.5,4853.02,2334.82,2518.2,472.34,336.78,135.56,472.34,336.78,135.56
all_fossil_fuels,ccASHP,Zone 4,1031.7,11470.81,12601.49,953.01,78.68,4949.4,3351.01,1598.4,15952.49,3351.01,12601.49,1948.51,1869.82,78.68,374.31,253.43,120.88,1206.44,253.43,953.01
all_fossil_fuels,ccASHP,Zone 5,678.3,7541.57,3706.41,280.31,397.99,5150.23,4778.56,371.67,8484.98,4778.56,3706.41,2743.95,2345.96,397.99,389.5,361.39,28.11,641.69,361.39,280.31
all_fossil_fuels,ccASHP,Zone 6,2051.28,22806.91,3113.48,235.46,1815.82,5784.72,4779.11,1005.62,7892.59,4779.11,3113.48,4573.72,2757.9,1815.82,437.48,361.43,76.05,596.89,361.43,235.46
all_fossil_fuels,ccASHP,Statewide,1083.59,12047.82,5594.32,423.08,660.51,5254.5,4453.2,801.3,10047.52,4453.2,5594.32,2995.33,2334.82,660.51,397.38,336.78,60.6,759.86,336.78,423.08
